INFO     ActorSystem Administrator startup @ ActorAddr-(T|:1900)
DEBUG    Who serves directory-server
DEBUG    Server View  of db-server-1
DEBUG    Server View  of db-server-2
DEBUG    Server View  of db-server-3
DEBUG    Server View  of db-server-4
DEBUG    Server View  of db-server-0
DEBUG    View clerk-6
DEBUG    Server map of clerk-6 updated
DEBUG    View clerk-1
DEBUG    Server map of clerk-1 updated
DEBUG    View clerk-4
DEBUG    Server map of clerk-4 updated
DEBUG    View clerk-0
DEBUG    Server map of clerk-0 updated
DEBUG    View clerk-9
DEBUG    Server map of clerk-9 updated
DEBUG    View clerk-5
DEBUG    Server map of clerk-5 updated
DEBUG    View clerk-2
DEBUG    Server map of clerk-2 updated
DEBUG    View clerk-8
DEBUG    Server map of clerk-8 updated
DEBUG    View clerk-7
DEBUG    Server map of clerk-7 updated
DEBUG    View clerk-3
DEBUG    Server map of clerk-3 updated
DEBUG    clerk-6 -Starting read for: dict_keys([65, 38, 41, 78, 15, 50, 20, 25, 60, 93])
DEBUG    clerk-6 -Sending reads to dict_keys(['db-server-0', 'db-server-3', 'db-server-1']) 
DEBUG    clerk-4 -Starting read for: dict_keys([97, 69, 41, 75, 14, 19, 52, 89, 27, 28])
DEBUG    clerk-4 -Sending reads to dict_keys(['db-server-4', 'db-server-2', 'db-server-3', 'db-server-1', 'db-server-0']) 
DEBUG    clerk-1 -Starting read for: dict_keys([5, 70, 39, 46, 15, 49, 82, 19, 25, 27])
DEBUG    clerk-1 -Sending reads to dict_keys(['db-server-0', 'db-server-4', 'db-server-2', 'db-server-1']) 
DEBUG    clerk-0 -Starting read for: dict_keys([32, 66, 3, 36, 73, 48, 51, 20, 24, 29])
DEBUG    clerk-0 -Sending reads to dict_keys(['db-server-3', 'db-server-0', 'db-server-4', 'db-server-2', 'db-server-1']) 
DEBUG    clerk-5 -Starting read for: dict_keys([97, 2, 73, 10, 12, 13, 20, 57, 26, 60])
DEBUG    clerk-9 -Starting read for: dict_keys([64, 2, 72, 40, 11, 44, 23, 31, 93, 95])
DEBUG    clerk-5 -Sending reads to dict_keys(['db-server-2', 'db-server-0', 'db-server-3', 'db-server-1']) 
DEBUG    clerk-9 -Sending reads to dict_keys(['db-server-2', 'db-server-1', 'db-server-3', 'db-server-0', 'db-server-4']) 
DEBUG    clerk-2 -Starting read for: dict_keys([70, 38, 14, 16, 80, 18, 50, 84, 87, 25])
DEBUG    clerk-2 -Sending reads to dict_keys(['db-server-4', 'db-server-1', 'db-server-3', 'db-server-0', 'db-server-2']) 
DEBUG    clerk-8 -Starting read for: dict_keys([67, 100, 7, 72, 42, 78, 17, 90, 59, 63])
DEBUG    clerk-8 -Sending reads to dict_keys(['db-server-2', 'db-server-4', 'db-server-3', 'db-server-0']) 
DEBUG    clerk-7 -Starting read for: dict_keys([64, 33, 7, 39, 10, 11, 13, 56, 58, 62])
DEBUG    clerk-3 -Starting read for: dict_keys([64, 97, 3, 71, 72, 40, 13, 46, 85, 28])
DEBUG    clerk-7 -Sending reads to dict_keys(['db-server-2', 'db-server-0', 'db-server-1', 'db-server-3', 'db-server-4']) 
DEBUG    clerk-3 -Sending reads to dict_keys(['db-server-3', 'db-server-0', 'db-server-1', 'db-server-4', 'db-server-2']) 
DEBUG    clerk-4 -Read finished for clerk-4-trx-0
DEBUG    clerk-4 -updating cache with answer {69: (0, 0), 14: (0, 0), 19: (0, 0), 89: (0, 0)}
DEBUG    clerk-4 -updating cache with answer {97: (0, 0), 52: (0, 0), 27: (0, 0)}
DEBUG    clerk-4 -updating cache with answer {28: (0, 0)}
DEBUG    clerk-4 -updating cache with answer {41: (0, 0)}
DEBUG    clerk-4 -updating cache with answer {75: (0, 0)}
DEBUG    clerk-4 -Committing clerk-4-trx-0
DEBUG    clerk-4 -Sending prepare to dict_keys(['db-server-4', 'db-server-2', 'db-server-3', 'db-server-1', 'db-server-0']) 
DEBUG    clerk-6 -Read finished for clerk-6-trx-0
DEBUG    clerk-6 -updating cache with answer {65: (0, 0), 15: (0, 0), 50: (0, 0), 20: (0, 0), 25: (0, 0), 60: (0, 0)}
DEBUG    clerk-6 -updating cache with answer {38: (0, 0), 78: (0, 0), 93: (0, 0)}
DEBUG    clerk-6 -updating cache with answer {41: (0, 0)}
DEBUG    clerk-6 -Committing clerk-6-trx-0
DEBUG    clerk-6 -Sending prepare to dict_keys(['db-server-0', 'db-server-3', 'db-server-1']) 
DEBUG    clerk-1 -Read finished for clerk-1-trx-0
DEBUG    clerk-1 -updating cache with answer {5: (0, 0), 70: (0, 0), 15: (0, 0), 25: (0, 0)}
DEBUG    clerk-1 -updating cache with answer {39: (0, 0), 49: (0, 0), 19: (0, 0)}
DEBUG    clerk-1 -updating cache with answer {82: (0, 0), 27: (0, 0)}
DEBUG    clerk-1 -updating cache with answer {46: (0, 0)}
DEBUG    clerk-1 -Committing clerk-1-trx-0
DEBUG    clerk-1 -Sending prepare to dict_keys(['db-server-0', 'db-server-4', 'db-server-2', 'db-server-1']) 
DEBUG    clerk-0 -Read finished for clerk-0-trx-0
DEBUG    clerk-0 -updating cache with answer {3: (0, 0), 73: (0, 0), 48: (0, 0)}
DEBUG    clerk-0 -updating cache with answer {20: (0, 0)}
DEBUG    clerk-0 -updating cache with answer {24: (0, 0), 29: (0, 0)}
DEBUG    clerk-0 -updating cache with answer {32: (0, 0)}
DEBUG    clerk-0 -updating cache with answer {66: (0, 0), 36: (0, 0), 51: (0, 0)}
DEBUG    clerk-0 -Committing clerk-0-trx-0
DEBUG    clerk-0 -Sending prepare to dict_keys(['db-server-3', 'db-server-0', 'db-server-4', 'db-server-2', 'db-server-1']) 
DEBUG    clerk-2 -Read finished for clerk-2-trx-0
DEBUG    clerk-2 -updating cache with answer {38: (0, 0), 18: (0, 0)}
DEBUG    clerk-2 -updating cache with answer {70: (0, 0), 80: (0, 0), 50: (0, 0), 25: (0, 0)}
DEBUG    clerk-2 -updating cache with answer {87: (0, 0)}
DEBUG    clerk-2 -updating cache with answer {14: (0, 0), 84: (0, 0)}
DEBUG    clerk-2 -updating cache with answer {16: (0, 0)}
DEBUG    clerk-2 -Committing clerk-2-trx-0
DEBUG    clerk-2 -Sending prepare to dict_keys(['db-server-4', 'db-server-1', 'db-server-3', 'db-server-0', 'db-server-2']) 
DEBUG    clerk-8 -Read finished for clerk-8-trx-0
DEBUG    clerk-8 -updating cache with answer {67: (0, 0), 7: (0, 0), 72: (0, 0), 42: (0, 0), 17: (0, 0)}
DEBUG    clerk-8 -updating cache with answer {59: (0, 0)}
DEBUG    clerk-8 -updating cache with answer {78: (0, 0), 63: (0, 0)}
DEBUG    clerk-8 -updating cache with answer {100: (0, 0), 90: (0, 0)}
DEBUG    clerk-8 -Committing clerk-8-trx-0
DEBUG    clerk-8 -Sending prepare to dict_keys(['db-server-2', 'db-server-4', 'db-server-3', 'db-server-0']) 
DEBUG    clerk-5 -Read finished for clerk-5-trx-0
DEBUG    clerk-5 -updating cache with answer {97: (0, 0), 2: (0, 0), 12: (0, 0), 57: (0, 0)}
DEBUG    clerk-5 -updating cache with answer {10: (0, 0), 20: (0, 0), 60: (0, 0)}
DEBUG    clerk-5 -updating cache with answer {73: (0, 0), 13: (0, 0)}
DEBUG    clerk-5 -updating cache with answer {26: (0, 0)}
DEBUG    clerk-5 -Committing clerk-5-trx-0
DEBUG    clerk-5 -Sending prepare to dict_keys(['db-server-2', 'db-server-0', 'db-server-3', 'db-server-1']) 
DEBUG    clerk-7 -Read finished for clerk-7-trx-0
DEBUG    clerk-7 -updating cache with answer {7: (0, 0), 62: (0, 0)}
DEBUG    clerk-7 -updating cache with answer {10: (0, 0)}
DEBUG    clerk-7 -updating cache with answer {11: (0, 0), 56: (0, 0)}
DEBUG    clerk-7 -updating cache with answer {33: (0, 0), 13: (0, 0), 58: (0, 0)}
DEBUG    clerk-7 -updating cache with answer {64: (0, 0), 39: (0, 0)}
DEBUG    clerk-7 -Committing clerk-7-trx-0
DEBUG    clerk-7 -Sending prepare to dict_keys(['db-server-2', 'db-server-0', 'db-server-1', 'db-server-3', 'db-server-4']) 
DEBUG    db-server-4 received prepare request clerk-4-trx-0
DEBUG    db-server-4 Validation successful for clerk-4-trx-0 - Prepare OK
DEBUG    db-server-2 received prepare request clerk-4-trx-0
DEBUG    db-server-2 Validation successful for clerk-4-trx-0 - Prepare OK
DEBUG    db-server-3 received prepare request clerk-4-trx-0
DEBUG    db-server-3 Validation successful for clerk-4-trx-0 - Prepare OK
DEBUG    db-server-1 received prepare request clerk-4-trx-0
DEBUG    db-server-1 Validation successful for clerk-4-trx-0 - Prepare OK
DEBUG    db-server-0 received prepare request clerk-4-trx-0
DEBUG    db-server-0 Validation successful for clerk-4-trx-0 - Prepare OK
DEBUG    clerk-4 -Received all prepare ok and sending commit to dict_keys(['db-server-4', 'db-server-2', 'db-server-3', 'db-server-1', 'db-server-0']) 
DEBUG    db-server-0 received prepare request clerk-6-trx-0
DEBUG    db-server-0 Validation successful for clerk-6-trx-0 - Prepare OK
DEBUG    db-server-3 received prepare request clerk-6-trx-0
DEBUG    db-server-3 Validation successful for clerk-6-trx-0 - Prepare OK
DEBUG    db-server-1 received prepare request clerk-6-trx-0
DEBUG    db-server-1 -Validation failed for clerk-6-trx-0 - Against earlier transactions - Prepare NO
DEBUG    clerk-6 -Aborting due to validation fail clerk-6-trx-0
DEBUG    clerk-6-trx-0 -false 
DEBUG    db-server-0 received abort request clerk-6-trx-0
DEBUG    db-server-3 received abort request clerk-6-trx-0
DEBUG    db-server-0 - Aborting transaction clerk-6-trx-0
DEBUG    db-server-0 - history is: SortedListWithKey([<thor.utils.Transaction object at 0x00000228673721D0>, <thor.utils.Transaction object at 0x0000022867372208>], key=<function Server.__init__.<locals>.<lambda> at 0x000002286733DD90>, load=1000)
DEBUG    db-server-3 - Aborting transaction clerk-6-trx-0
DEBUG    db-server-3 - history is: SortedListWithKey([<thor.utils.Transaction object at 0x0000014A45422128>, <thor.utils.Transaction object at 0x0000014A4540B518>], key=<function Server.__init__.<locals>.<lambda> at 0x0000014A453EDD90>, load=1000)
DEBUG    db-server-1 received prepare request clerk-1-trx-0
DEBUG    db-server-1 Validation successful for clerk-1-trx-0 - Prepare OK
DEBUG    db-server-4 received prepare request clerk-1-trx-0
DEBUG    db-server-2 received prepare request clerk-1-trx-0
DEBUG    db-server-4 -Validation failed for clerk-1-trx-0 - Against earlier transactions - Prepare NO
DEBUG    db-server-2 Validation successful for clerk-1-trx-0 - Prepare OK
DEBUG    db-server-0 received prepare request clerk-1-trx-0
DEBUG    db-server-0 Validation successful for clerk-1-trx-0 - Prepare OK
DEBUG    clerk-1 -Aborting due to validation fail clerk-1-trx-0
DEBUG    db-server-1 received abort request clerk-1-trx-0
DEBUG    db-server-2 received abort request clerk-1-trx-0
DEBUG    db-server-0 received abort request clerk-1-trx-0
DEBUG    clerk-1-trx-0 -false 
DEBUG    db-server-0 - Aborting transaction clerk-1-trx-0
DEBUG    db-server-1 - Aborting transaction clerk-1-trx-0
DEBUG    db-server-0 - history is: SortedListWithKey([<thor.utils.Transaction object at 0x00000228673721D0>, <thor.utils.Transaction object at 0x0000022867372390>], key=<function Server.__init__.<locals>.<lambda> at 0x000002286733DD90>, load=1000)
DEBUG    db-server-2 - Aborting transaction clerk-1-trx-0
DEBUG    db-server-1 - history is: SortedListWithKey([<thor.utils.Transaction object at 0x00000256D50D10B8>, <thor.utils.Transaction object at 0x00000256D50D1630>], key=<function Server.__init__.<locals>.<lambda> at 0x00000256D509DD90>, load=1000)
DEBUG    db-server-2 - history is: SortedListWithKey([<thor.utils.Transaction object at 0x0000019205C51080>, <thor.utils.Transaction object at 0x0000019205C36550>], key=<function Server.__init__.<locals>.<lambda> at 0x0000019205C1DD90>, load=1000)
DEBUG    db-server-2 received prepare request clerk-5-trx-0
